School Name,School Type,Youth Attendees,Address,Year,full_address,latitude,longitude
Little Village High School,High School,200,"3120 S Kostner Ave, Chicago, IL 60623",2025-10-06T00:00:00Z,"3120 S Kostner Ave, Chicago, IL 60623 Chicago, IL",41.83516722258,-87.735566286247
Wescott Elementary,Elementary,107,"409 W 80th St, Chicago. IL 60620",2025-10-07T00:00:00Z,"409 W 80th St, Chicago. IL 60620 Chicago, IL",41.748675579088,-87.63553154079
DRW College Prep,High School,90,"931 S. Homan Ave, Chicago, IL 60624",2025-10-08T00:00:00Z,"931 S. Homan Ave, Chicago, IL 60624 Chicago, IL",41.869245191044,-87.710003157943
Nash Elementary,Elementary,80,"4837 W. Erie St, Chicago,IL 60644",2025-10-09T00:00:00Z,"4837 W. Erie St, Chicago,IL 60644 Chicago, IL",41.892032400655,-87.746951173873
Robert Healy Elementary,Elementary,450,"3010 S. Parnell Ave, Chicago IL 60616",2025-10-16T00:00:00Z,"3010 S. Parnell Ave, Chicago IL 60616 Chicago, IL",41.839659000672,-87.64053176513
Mitchell Elementary School,Elementary,110,"2233 W Ohio St. Chicago,IL 60612",2025-10-28T00:00:00Z,"2233 W Ohio St. Chicago,IL 60612 Chicago, IL",41.891966644624,-87.683181570695
Grissom Elementary,Elementary,120,"12810 S. Escanaba Ave, Chicago IL 60633",2025-10-28T00:00:00Z,"12810 S. Escanaba Ave, Chicago IL 60633 Chicago, IL",41.662131842068,-87.553571950436
Marcus Garvey Elementary,Elementary,100,"10309 S. Morgan St, Chicago IL 60643",2025-10-29T00:00:00Z,"10309 S. Morgan St, Chicago IL 60643 Chicago, IL",41.706602238913,-87.64706411755
Brunson Elementary,Elementary,110,"932 N. Central Ave , Chicago, IL 60651",2025-11-04T00:00:00Z,"932 N. Central Ave , Chicago, IL 60651 Chicago, IL",41.897672248025,-87.765868961702
Perspectives/IIT Math & Science Academy,High School,240,"3663 S. Wabash Ave, Chicago IL 60653",2025-11-04T00:00:00Z,"3663 S. Wabash Ave, Chicago IL 60653 Chicago, IL",41.827763277957,-87.624449491326
Perspectives/IIT Math & Science Academy,High School,188,"3663 S. Wabash Ave, Chicago IL 60653",2025-11-05T00:00:00Z,"3663 S. Wabash Ave, Chicago IL 60653 Chicago, IL",41.827763277957,-87.624449491326
Acero Charter-Brighton Park,Elementary,80,"4420 S. Fairfield Ave, Chicago,IL 60632",2025-11-07T00:00:00Z,"4420 S. Fairfield Ave, Chicago,IL 60632 Chicago, IL",41.812919095071,-87.693421406529
Acero Charter-Brighton Park,Elementary,50,"4420 S. Fairfield Ave, Chicago,IL 60632",2025-11-14T00:00:00Z,"4420 S. Fairfield Ave, Chicago,IL 60632 Chicago, IL",41.812919095071,-87.693421406529
Chavez Multicultural Academic Center,Middle,76,"4831 S. Hermitage Ave, Chicago, IL 60609",2025-12-02T00:00:00Z,"4831 S. Hermitage Ave, Chicago, IL 60609 Chicago, IL",41.80586999832,-87.668239990095
Sawyer Elementary,Elementary,284,"5248 S. Sawyer Ave, Chicago, IL 60632",2025-12-03T00:00:00Z,"5248 S. Sawyer Ave, Chicago, IL 60632 Chicago, IL",41.797580170351,-87.705261347678
Hale Elementary,Elementary,276,"6140 S. Melvina Ave, Chicago, IL 60638",2025-12-04T00:00:00Z,"6140 S. Melvina Ave, Chicago, IL 60638 Chicago, IL",41.780503383735,-87.776970121906
Tilden High School,High School,70,"4747 S Union Ave, Chicago, IL, 6-60609",2026-01-06T00:00:00Z,"4747 S Union Ave, Chicago, IL, 6-60609 Chicago, IL",41.807520604603,-87.642101108861
William H Ryder Math & Science Specialty ES,Elementary,50,"8716 S Wallace St  Chicago, IL 60620",2026-01-13T00:00:00Z,"8716 S Wallace St  Chicago, IL 60620 Chicago, IL",41.735261055518,-87.639514704998
Robert L Grimes Middle School,Middle,135,"5450 W 64th Pl, Chicago, IL 60638",2026-01-21T00:00:00Z,"5450 W 64th Pl, Chicago, IL 60638 Chicago, IL",41.775681903481,-87.758708720914
Florence Nightingale Elementary School,Elementary,250,"5225 S Talman Ave, Chicago, IL, 60632",2026-01-26T00:00:00Z,"5225 S Talman Ave, Chicago, IL, 60632 Chicago, IL",41.798332990985,-87.689662961145
National Teacher Academy,Elementary,67,"55 W Cermak Rd, Chicago,IL 60616",2026-02-03T00:00:00Z,"55 W Cermak Rd, Chicago,IL 60616 Chicago, IL",41.851902907645,-87.628759717396
