school_name_std,address,city,zip,county,FedCong,included_in_program,registered,n_incidents,had_incident,n_disp_return,perc_disp_return
lisbon ccsd 90,127 S Canal St,Newark,60541 9776,Kendall,14,0,NA,0,0,NA,NA
lisbon grade school,127 S Canal St,Newark,60541 9776,Kendall,14,1,NA,0,0,NA,NA
lisle elementary school,5801 Westview Ln,Lisle,60532 2774,Dupage,06,1,1,7,1,5,0.714285714285714
lisle high school,1800 Short St,Lisle,60532 2163,Dupage,06,1,1,0,0,NA,NA
lisle jr high school,5207 Center Ave,Lisle,60532 2306,Dupage,06,1,1,0,0,NA,NA
litchfield elementary,127 W St John,Litchfield,62056,NA,NA,NA,1,0,0,NA,NA
litchfield elementary school,127 W. St. John,Litchfield,62056,Montgomery,15,1,NA,0,0,NA,NA
litchfield middle school,1701 N State St,Litchfield,62056 1113,Montgomery,15,1,1,0,0,NA,NA
litchfield prekindergarten,601 S State St,Litchfield,62056 2234,Montgomery,NA,1,1,0,0,NA,NA
litchfield senior high school,1705 N State St,Litchfield,62056 1113,Montgomery,15,1,1,0,0,NA,NA
little black pearl arts acad hs,1060 E 47th St,Chicago,60653 3600,Cook,NA,1,NA,0,0,NA,NA
little fort elem school,1775 Blanchard Rd,Waukegan,60087 3014,Lake,10,1,1,3,1,1,0.333333333333333
little village elem school,2620 S Lawndale Ave,Chicago,60623 4519,Cook,04,1,1,1,1,1,1
littlejohn elem school,1121 School St,DeKalb,60115 2574,Dekalb,14,1,1,0,0,NA,NA
livingston area career cntr,1100 E Indiana Ave,Pontiac,61764 1204,Livingston,NA,0,NA,0,0,NA,NA
livingston area educ for employ,1100 E Indiana Ave,Pontiac,61764 1204,Livingston,NA,0,NA,0,0,NA,NA
livingston co crossroads academy,205 N Adams St,Flanagan,61740 9036,Livingston,16,0,NA,0,0,NA,NA
livingston county academy,205 N Adams St,Flanagan,61740 9036,Livingston,16,0,NA,0,0,NA,NA
lloyd elem school,2103 N Lamon Ave,Chicago,60639 3238,Cook,03,1,1,0,0,NA,NA
lmp regional office of education,119 W Madison St Ste 102,Ottawa,61350 5015,N/A,NA,0,NA,0,0,NA,NA
lmp roe,2233 6th St,Peru,61354 2516,N/A,NA,0,NA,0,0,NA,NA
lmp roe alop,2233 6Th St Ste 2,Peru,61354 2532,N/A,NA,0,NA,0,0,NA,NA
lmp roe taoep,2233 6Th St Ste 2,Peru,61354 2516,N/A,NA,0,NA,0,0,NA,NA
locke a elem charter academy,3141 W Jackson Blvd,Chicago,60612 2729,Cook,07,1,1,0,0,NA,NA
locke j elem school,2828 N Oak Park Ave,Chicago,60634 4866,Cook,03,1,1,0,0,NA,NA
lockport township high sch east,1333 E 7th St,Lockport,60441 3823,Will,01,1,NA,0,0,NA,NA
locust elem school,539 Locust St,Marengo,60152 3413,McHenry,11,1,1,4,1,0,0
logan elem school,1602 25th St,Moline,61265 4150,Rock Island,17,1,NA,0,0,NA,NA
logan jr high school,302 W Central Ave,Princeton,61356 1604,Bureau,16,1,1,0,0,NA,NA
lombard middle school,1220 E Knox St,Galesburg,61401 5253,Knox,17,1,1,0,0,NA,NA
long beach elem school,67 Longbeach Rd,Montgomery,60538 2437,Kendall,14,1,1,0,0,NA,NA
